salesOrderId,orderDate,dueDate,shipDate,status,salesOrderNumber,purchaseOrderNumber,accountNumber,territory,billToAddress,shipToAddress,creditCardId,creditCardApprovalCode,currencyRateId,subTotal,taxAmount,freight,totalDue
43676,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43676,PO11861165059,10-4020-000017,Southeast (United States),"9920 Picketts Line Road-Newport News, Virginia, United States","9920 Picketts Line Road-Newport News, Virginia, United States",18153.0,36168Vi94127,,14203.458,1363.266,426.0206,15992.7446
43677,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43677,PO11049174786,10-4020-000679,Canada (Canada),"990th Floor 700 De La GauchetiSre Ou-Montreal, Quebec, Canada","990th Floor 700 De La GauchetiSre Ou-Montreal, Quebec, Canada",14030.0,16302Vi72763,4.0,7793.1108,747.1011,233.4691,8773.681
43678,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43678,PO10817150168,10-4020-000203,Southwest (United States),"440 West Huntington Dr.-Monrovia, California, United States","440 West Huntington Dr.-Monrovia, California, United States",5093.0,66363Vi26658,,9799.9243,942.074,294.3981,11036.3964
43679,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43679,PO10527142759,10-4020-000480,Canada (Canada),"69251 Creditview Road-Mississauga, Ontario, Canada","69251 Creditview Road-Mississauga, Ontario, Canada",5439.0,126365Vi28482,4.0,1316.0575,125.8032,39.3135,1481.1742
43680,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43680,PO10730130087,10-4020-000491,Southwest (United States),"6900 Sisk Road-Modesto, California, United States","6900 Sisk Road-Modesto, California, United States",6653.0,126370Vi34642,,11397.4992,1093.6394,341.7623,12832.9009
43681,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43681,PO1189177803,10-4020-000423,Southeast (United States),"Edgewater Mall-Biloxi, Mississippi, United States","Edgewater Mall-Biloxi, Mississippi, United States",5301.0,16608Vi27707,,13787.5434,1323.0668,413.4584,15524.0686
43682,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43682,PO1566124200,10-4020-000486,Northeast (United States),"Tree Plaza-Braintree, Massachusetts, United States","Tree Plaza-Braintree, Massachusetts, United States",76.0,96712Vi373,,3875.7229,371.8002,116.1876,4363.7107
43683,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43683,PO2552113807,10-4020-000506,Northwest (United States),"Eastridge Mall-Casper, Wyoming, United States","Eastridge Mall-Casper, Wyoming, United States",13045.0,76866Vi67506,,42813.4333,4107.1489,1283.484,48204.0662
43684,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43684,PO3393188842,10-4020-000549,Southeast (United States),"Bay Area Outlet Mall-Clearwater, Florida, United States","Bay Area Outlet Mall-Clearwater, Florida, United States",267.0,37982Vi1394,,5596.4705,537.2612,167.8941,6301.6258
43685,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43685,PO4176124783,10-4020-000458,Southeast (United States),"Silver Sands Factory Outlet-Destin, Florida, United States","Silver Sands Factory Outlet-Destin, Florida, United States",2519.0,108058Vi13146,,2736.5678,263.201,82.2503,3082.0191
43686,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43686,PO5075125561,10-4020-000344,Northwest (United States),"2502 Evergreen Ste E-Everett, Washington, United States","2502 Evergreen Ste E-Everett, Washington, United States",14612.0,48152Vi75759,,3463.2998,332.4768,103.899,3899.6756
43687,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43687,PO4959110829,10-4020-000269,Northeast (United States),"25264 E. 260th-Euclid, Ohio, United States","25264 E. 260th-Euclid, Ohio, United States",3235.0,128163Vi17021,,1258.3767,120.8042,37.7513,1416.9322
43688,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43688,PO5365136389,10-4020-000161,Northeast (United States),"42522 Northrupp-Fort Wayne, Indiana, United States","42522 Northrupp-Fort Wayne, Indiana, United States",12399.0,88200Vi64099,,12718.0844,1222.8838,382.1512,14323.1194
43689,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43689,PO5626159507,10-4020-000166,Southwest (United States),"220 Mercy Drive-Garland, Texas, United States","220 Mercy Drive-Garland, Texas, United States",13054.0,98228Vi67566,,33997.3702,3271.4942,1022.3419,38291.2063
43690,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43690,PO6235146326,10-4020-000431,Central (United States),"Horizon Outlet Center-Holland, Michigan, United States","Horizon Outlet Center-Holland, Michigan, United States",2337.0,28321Vi12181,,1297.5901,124.2027,38.8133,1460.6061
43691,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43691,PO6409111675,10-4020-000292,Southwest (United States),"9903 Highway 6 South-Houston, Texas, United States","9903 Highway 6 South-Houston, Texas, United States",242.0,28360Vi1235,,874.794,83.9802,26.2438,985.018
43692,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43692,PO7859187017,10-4020-000221,Southwest (United States),"9952 E. Lohman Ave.-Las Cruces, New Mexico, United States","9952 E. Lohman Ave.-Las Cruces, New Mexico, United States",7176.0,108529Vi37251,,38510.8973,3696.3979,1155.1244,43362.4196
43693,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43693,PO8120182325,10-4020-000485,Southeast (United States),"Leesburg Premium Outlet Centre-Leesburg, Virginia, United States","Leesburg Premium Outlet Centre-Leesburg, Virginia, United States",8937.0,128548Vi46064,,20541.4072,1969.5564,615.4864,23126.45
43694,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43694,PO9657130250,10-4020-000315,Southeast (United States),"78025 E. Mercy Island Cswy-Merritt Island, Florida, United States","78025 E. Mercy Island Cswy-Merritt Island, Florida, United States",7083.0,118748Vi36747,,20645.634,1978.3257,618.2268,23242.1865
43695,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43695,PO10179176559,10-4020-000027,Southeast (United States),"100 Fifth Drive-Millington, Tennessee, United States","100 Fifth Drive-Millington, Tennessee, United States",10163.0,128786Vi52413,,39373.781,3787.4632,1183.5823,44344.8265
43696,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43696,PO9947131800,10-4020-000603,Southeast (United States),"Dadeland Mall, Space 25090-Miami, Florida, United States","Dadeland Mall, Space 25090-Miami, Florida, United States",1402.0,98787Vi7192,,419.4589,40.2681,12.5838,472.3108
43697,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43697,,10-4030-021768,Canada (Canada),"601 Asilomar Dr.-Metchosin, British Columbia, Canada","601 Asilomar Dr.-Metchosin, British Columbia, Canada",4319.0,530200Vi22686,4.0,3578.27,286.2616,89.4568,3953.9884
43698,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43698,,10-4030-028389,France (France),"14, avenue du Port-Pantin, Seine Saint Denis, France","14, avenue du Port-Pantin, Seine Saint Denis, France",16625.0,1231736Vi86048,8.0,3399.99,271.9992,84.9998,3756.989
43699,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43699,,10-4030-025863,Northwest (United States),"4193 E. 28th Street-Lebanon, Oregon, United States","4193 E. 28th Street-Lebanon, Oregon, United States",5796.0,333376Vi30244,,3399.99,271.9992,84.9998,3756.989
43700,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43700,,10-4030-014501,Southwest (United States),"249 Alexander Pl.-Beverly Hills, California, United States","249 Alexander Pl.-Beverly Hills, California, United States",12860.0,733791Vi66509,,699.0982,55.9279,17.4775,772.5036
43701,2011-05-31T00:00:00,2011-06-12T00:00:00,2011-06-07T00:00:00,Shipped,SO43701,,10-4030-011003,Australia (Australia),"1825 Village Pl.-North Ryde, New South Wales, Australia","1825 Village Pl.-North Ryde, New South Wales, Australia",11150.0,335093Vi57504,2.0,3399.99,271.9992,84.9998,3756.989
43702,2011-06-01T00:00:00,2011-06-13T00:00:00,2011-06-08T00:00:00,Shipped,SO43702,,10-4030-027645,Southwest (United States),"7626 Sinclair Avenue-Coronado, California, United States","7626 Sinclair Avenue-Coronado, California, United States",8087.0,1230194Vi41919,,3578.27,286.2616,89.4568,3953.9884
43703,2011-06-01T00:00:00,2011-06-13T00:00:00,2011-06-08T00:00:00,Shipped,SO43703,,10-4030-016624,Australia (Australia),"3541 Corte Poquito-Perth, South Australia, Australia","3541 Corte Poquito-Perth, South Australia, Australia",9497.0,1234632Vi48985,15.0,3578.27,286.2616,89.4568,3953.9884
43704,2011-06-01T00:00:00,2011-06-13T00:00:00,2011-06-08T00:00:00,Shipped,SO43704,,10-4030-011005,Australia (Australia),"7305 Humphrey Drive-East Brisbane, Queensland, Australia","7305 Humphrey Drive-East Brisbane, Queensland, Australia",1988.0,835095Vi10342,15.0,3374.99,269.9992,84.3748,3729.364
43705,2011-06-01T00:00:00,2011-06-13T00:00:00,2011-06-08T00:00:00,Shipped,SO43705,,10-4030-011011,Australia (Australia),"1224 Shoenic-East Brisbane, Queensland, Australia","1224 Shoenic-East Brisbane, Queensland, Australia",7205.0,1035101Vi37381,15.0,3399.99,271.9992,84.9998,3756.989
43706,2011-06-02T00:00:00,2011-06-14T00:00:00,2011-06-09T00:00:00,Shipped,SO43706,,10-4030-027621,Southwest (United States),"2226 Cleveland Avenue-Santa Monica, California, United States","2226 Cleveland Avenue-Santa Monica, California, United States",10912.0,230189Vi56258,,3578.27,286.2616,89.4568,3953.9884
43707,2011-06-02T00:00:00,2011-06-14T00:00:00,2011-06-09T00:00:00,Shipped,SO43707,,10-4030-027616,Southwest (United States),"3455 Southbrook Dr.-Lemon Grove, California, United States","3455 Southbrook Dr.-Lemon Grove, California, United States",19069.0,230298Vi99064,,3578.27,286.2616,89.4568,3953.9884
43708,2011-06-02T00:00:00,2011-06-14T00:00:00,2011-06-09T00:00:00,Shipped,SO43708,,10-4030-020042,United Kingdom (United Kingdom),"2732 Frisbie Ct.-Liverpool, England, United Kingdom","2732 Frisbie Ct.-Liverpool, England, United Kingdom",4369.0,130402Vi22912,35.0,699.0982,55.9279,17.4775,772.5036
43709,2011-06-02T00:00:00,2011-06-14T00:00:00,2011-06-09T00:00:00,Shipped,SO43709,,10-4030-016351,Australia (Australia),"7418 Jumping St.-Rockhampton, Queensland, Australia","7418 Jumping St.-Rockhampton, Queensland, Australia",15524.0,1034602Vi80214,28.0,3578.27,286.2616,89.4568,3953.9884
43710,2011-06-02T00:00:00,2011-06-14T00:00:00,2011-06-09T00:00:00,Shipped,SO43710,,10-4030-016517,Australia (Australia),"3196 Peachwillow-Wollongong, New South Wales, Australia","3196 Peachwillow-Wollongong, New South Wales, Australia",5764.0,1134614Vi30135,28.0,3578.27,286.2616,89.4568,3953.9884
43711,2011-06-03T00:00:00,2011-06-15T00:00:00,2011-06-10T00:00:00,Shipped,SO43711,,10-4030-027606,Northwest (United States),"1627 Ashford Court-Milwaukie, Oregon, United States","1627 Ashford Court-Milwaukie, Oregon, United States",3043.0,430293Vi16007,,3578.27,286.2616,89.4568,3953.9884
43712,2011-06-03T00:00:00,2011-06-15T00:00:00,2011-06-10T00:00:00,Shipped,SO43712,,10-4030-013513,Germany (Germany),"Am Grossen Dern 4284-Werne, Nordrhein-Westfalen, Germany","Am Grossen Dern 4284-Werne, Nordrhein-Westfalen, Germany",6213.0,1231128Vi32292,45.0,3578.27,286.2616,89.4568,3953.9884
43713,2011-06-04T00:00:00,2011-06-16T00:00:00,2011-06-11T00:00:00,Shipped,SO43713,,10-4030-027601,Southwest (United States),"1016 Park Avenue-Burbank, California, United States","1016 Park Avenue-Burbank, California, United States",16570.0,830288Vi85808,,3578.27,286.2616,89.4568,3953.9884
43714,2011-06-04T00:00:00,2011-06-16T00:00:00,2011-06-11T00:00:00,Shipped,SO43714,,10-4030-013591,United Kingdom (United Kingdom),"2168 Reading Drive-York, England, United Kingdom","2168 Reading Drive-York, England, United Kingdom",15963.0,1031124Vi82522,61.0,3578.27,286.2616,89.4568,3953.9884
43715,2011-06-04T00:00:00,2011-06-16T00:00:00,2011-06-11T00:00:00,Shipped,SO43715,,10-4030-016483,Australia (Australia),"9276 Blackwood Drive-Melbourne, Victoria, Australia","9276 Blackwood Drive-Melbourne, Victoria, Australia",7985.0,1134605Vi41375,54.0,3578.27,286.2616,89.4568,3953.9884
43716,2011-06-04T00:00:00,2011-06-16T00:00:00,2011-06-11T00:00:00,Shipped,SO43716,,10-4030-016529,Australia (Australia),"3571 N St.-Goulburn, New South Wales, Australia","3571 N St.-Goulburn, New South Wales, Australia",5873.0,534626Vi30635,54.0,3578.27,286.2616,89.4568,3953.9884
43717,2011-06-04T00:00:00,2011-06-16T00:00:00,2011-06-11T00:00:00,Shipped,SO43717,,10-4030-025249,Australia (Australia),"2904 San Simeon Ct.-Goulburn, New South Wales, Australia","2904 San Simeon Ct.-Goulburn, New South Wales, Australia",5700.0,1235425Vi29858,54.0,699.0982,55.9279,17.4775,772.5036
43718,2011-06-05T00:00:00,2011-06-17T00:00:00,2011-06-12T00:00:00,Shipped,SO43718,,10-4030-027668,Northwest (United States),"1299 Bundros Court-Kirkland, Washington, United States","1299 Bundros Court-Kirkland, Washington, United States",3049.0,530203Vi16052,,3578.27,286.2616,89.4568,3953.9884
43719,2011-06-05T00:00:00,2011-06-17T00:00:00,2011-06-12T00:00:00,Shipped,SO43719,,10-4030-027612,Southwest (United States),"8521 C Mt. Hood Circle-Berkeley, California, United States","8521 C Mt. Hood Circle-Berkeley, California, United States",5998.0,1130295Vi31203,,3578.27,286.2616,89.4568,3953.9884
43720,2011-06-05T00:00:00,2011-06-17T00:00:00,2011-06-12T00:00:00,Shipped,SO43720,,10-4030-013264,Germany (Germany),"Heiderplatz 948-Ingolstadt, Bayern, Germany","Heiderplatz 948-Ingolstadt, Bayern, Germany",2765.0,831105Vi14399,71.0,3578.27,286.2616,89.4568,3953.9884
43721,2011-06-05T00:00:00,2011-06-17T00:00:00,2011-06-12T00:00:00,Shipped,SO43721,,10-4030-013590,United Kingdom (United Kingdom),"6553 San Miguel Rd.-York, England, United Kingdom","6553 San Miguel Rd.-York, England, United Kingdom",11950.0,331111Vi61776,74.0,3578.27,286.2616,89.4568,3953.9884
43722,2011-06-06T00:00:00,2011-06-18T00:00:00,2011-06-13T00:00:00,Shipped,SO43722,,10-4030-013581,United Kingdom (United Kingdom),"3316 Balhan Dr-Esher-Molesey, England, United Kingdom","3316 Balhan Dr-Esher-Molesey, England, United Kingdom",12191.0,331099Vi63048,87.0,3578.27,286.2616,89.4568,3953.9884
43723,2011-06-06T00:00:00,2011-06-18T00:00:00,2011-06-13T00:00:00,Shipped,SO43723,,10-4030-014520,Northwest (United States),"3981 Bell Drive-Bremerton, Washington, United States","3981 Bell Drive-Bremerton, Washington, United States",16949.0,833793Vi87871,,699.0982,55.9279,17.4775,772.5036
43724,2011-06-06T00:00:00,2011-06-18T00:00:00,2011-06-13T00:00:00,Shipped,SO43724,,10-4030-016520,Australia (Australia),"3511 B Eagle Peak Rd.-Bendigo, Victoria, Australia","3511 B Eagle Peak Rd.-Bendigo, Victoria, Australia",6336.0,834617Vi32891,80.0,3578.27,286.2616,89.4568,3953.9884
43725,2011-06-07T00:00:00,2011-06-19T00:00:00,2011-06-14T00:00:00,Shipped,SO43725,,10-4030-013258,Germany (Germany),"Bundesallee 4-Kassel, Hessen, Germany","Bundesallee 4-Kassel, Hessen, Germany",6640.0,832136Vi34578,97.0,3578.27,286.2616,89.4568,3953.9884
43726,2011-06-07T00:00:00,2011-06-19T00:00:00,2011-06-14T00:00:00,Shipped,SO43726,,10-4030-014560,Southwest (United States),"410 Cardinet Drive-Bellflower, California, United States","410 Cardinet Drive-Bellflower, California, United States",8533.0,533796Vi44130,,699.0982,55.9279,17.4775,772.5036
43727,2011-06-07T00:00:00,2011-06-19T00:00:00,2011-06-14T00:00:00,Shipped,SO43727,,10-4030-016607,Australia (Australia),"8200 Showtime Court-Brisbane, Queensland, Australia","8200 Showtime Court-Brisbane, Queensland, Australia",11407.0,834627Vi58835,93.0,3578.27,286.2616,89.4568,3953.9884
43728,2011-06-08T00:00:00,2011-06-20T00:00:00,2011-06-15T00:00:00,Shipped,SO43728,,10-4030-027666,Southwest (United States),"5975 Grove Way-Fremont, California, United States","5975 Grove Way-Fremont, California, United States",15630.0,130201Vi80748,,3578.27,286.2616,89.4568,3953.9884
43729,2011-06-08T00:00:00,2011-06-20T00:00:00,2011-06-15T00:00:00,Shipped,SO43729,,10-4030-011238,United Kingdom (United Kingdom),"1119 Elderwood Dr./#3-Birmingham, England, United Kingdom","1119 Elderwood Dr./#3-Birmingham, England, United Kingdom",2636.0,831735Vi13701,113.0,3399.99,271.9992,84.9998,3756.989
43730,2011-06-08T00:00:00,2011-06-20T00:00:00,2011-06-15T00:00:00,Shipped,SO43730,,10-4030-025861,Southwest (United States),"5854 Lombardy Lane-Woodland Hills, California, United States","5854 Lombardy Lane-Woodland Hills, California, United States",13323.0,333375Vi69103,,3399.99,271.9992,84.9998,3756.989
43731,2011-06-08T00:00:00,2011-06-20T00:00:00,2011-06-15T00:00:00,Shipped,SO43731,,10-4030-016629,Australia (Australia),"2391 St. Peter Court-Matraville, New South Wales, Australia","2391 St. Peter Court-Matraville, New South Wales, Australia",14302.0,834633Vi74142,106.0,3578.27,286.2616,89.4568,3953.9884
43732,2011-06-08T00:00:00,2011-06-20T00:00:00,2011-06-15T00:00:00,Shipped,SO43732,,10-4030-011025,Australia (Australia),"2596 Franklin Canyon Road-Hawthorne, Queensland, Australia","2596 Franklin Canyon Road-Hawthorne, Queensland, Australia",10882.0,1235104Vi56140,106.0,3374.99,269.9992,84.3748,3729.364
43733,2011-06-08T00:00:00,2011-06-20T00:00:00,2011-06-15T00:00:00,Shipped,SO43733,,10-4030-027577,Northwest (United States),"3488 Cook St.-Port Orchard, Washington, United States","3488 Cook St.-Port Orchard, Washington, United States",10600.0,135716Vi54667,,3578.27,286.2616,89.4568,3953.9884
43734,2011-06-09T00:00:00,2011-06-21T00:00:00,2011-06-16T00:00:00,Shipped,SO43734,,10-4030-027604,Northwest (United States),"5005 Appalachian Dr.-Port Orchard, Washington, United States","5005 Appalachian Dr.-Port Orchard, Washington, United States",15365.0,330290Vi79368,,3578.27,286.2616,89.4568,3953.9884
43735,2011-06-09T00:00:00,2011-06-21T00:00:00,2011-06-16T00:00:00,Shipped,SO43735,,10-4030-016522,Australia (Australia),"2190 Rock Creek Way-Caloundra, Queensland, Australia","2190 Rock Creek Way-Caloundra, Queensland, Australia",6526.0,1034619Vi33896,119.0,3578.27,286.2616,89.4568,3953.9884
43736,2011-06-09T00:00:00,2011-06-21T00:00:00,2011-06-16T00:00:00,Shipped,SO43736,,10-4030-011002,Australia (Australia),"5844 Linden Land-Hobart, Tasmania, Australia","5844 Linden Land-Hobart, Tasmania, Australia",1416.0,1135092Vi7270,119.0,3399.99,271.9992,84.9998,3756.989
43737,2011-06-10T00:00:00,2011-06-22T00:00:00,2011-06-17T00:00:00,Shipped,SO43737,,10-4030-013261,Germany (Germany),"Auf dem Ufer 764-Paderborn, Nordrhein-Westfalen, Germany","Auf dem Ufer 764-Paderborn, Nordrhein-Westfalen, Germany",,,136.0,3578.27,286.2616,89.4568,3953.9884
43738,2011-06-10T00:00:00,2011-06-22T00:00:00,2011-06-17T00:00:00,Shipped,SO43738,,10-4030-011606,France (France),"2, rue de la Comédie-Morangis, Essonne, France","2, rue de la Comédie-Morangis, Essonne, France",12005.0,631125Vi62053,138.0,3578.27,286.2616,89.4568,3953.9884
43739,2011-06-10T00:00:00,2011-06-22T00:00:00,2011-06-17T00:00:00,Shipped,SO43739,,10-4030-013563,United Kingdom (United Kingdom),"3141 Jalalon Place-Stoke-on-Trent, England, United Kingdom","3141 Jalalon Place-Stoke-on-Trent, England, United Kingdom",,,139.0,3578.27,286.2616,89.4568,3953.9884
43740,2011-06-10T00:00:00,2011-06-22T00:00:00,2011-06-17T00:00:00,Shipped,SO43740,,10-4030-016527,Australia (Australia),"5455 Grenola Dr-Milsons Point, New South Wales, Australia","5455 Grenola Dr-Milsons Point, New South Wales, Australia",18137.0,834624Vi94036,132.0,3578.27,286.2616,89.4568,3953.9884
43741,2011-06-11T00:00:00,2011-06-23T00:00:00,2011-06-18T00:00:00,Shipped,SO43741,,10-4030-027671,Northwest (United States),"9963 Pacific-Ballard, Washington, United States","9963 Pacific-Ballard, Washington, United States",4679.0,530206Vi24524,,3578.27,286.2616,89.4568,3953.9884
43742,2011-06-11T00:00:00,2011-06-23T00:00:00,2011-06-18T00:00:00,Shipped,SO43742,,10-4030-013576,United Kingdom (United Kingdom),"2697 Mt. Everest Ct.-London, England, United Kingdom","2697 Mt. Everest Ct.-London, England, United Kingdom",17254.0,932138Vi89574,152.0,3578.27,286.2616,89.4568,3953.9884
43743,2011-06-11T00:00:00,2011-06-23T00:00:00,2011-06-18T00:00:00,Shipped,SO43743,,10-4030-011007,Australia (Australia),"942 Brook Street-Warrnambool, Victoria, Australia","942 Brook Street-Warrnambool, Victoria, Australia",1546.0,1235097Vi7903,145.0,3399.99,271.9992,84.9998,3756.989
43744,2011-06-11T00:00:00,2011-06-23T00:00:00,2011-06-18T00:00:00,Shipped,SO43744,,10-4030-016631,Australia (Australia),"6071 Mi Casa Court-Rockhampton, Queensland, Australia","6071 Mi Casa Court-Rockhampton, Queensland, Australia",12980.0,635648Vi67147,145.0,3578.27,286.2616,89.4568,3953.9884
